Trial,Participant ID,Cursor X,Cursor Y,Target X,Target Y,Target Width,Distance,Time,Hit Target
203,2,302,392,400,310,40,127.78106,496,1
204,2,400,299,490,310,40,90.66973,486,1
205,2,500,314,400,310,40,100.07997,482,1
206,2,399,319,310,220,40,133.12401,534,1
207,2,322,225,310,310,40,85.84288,466,1
208,2,319,306,310,310,40,9.848858,484,1
209,2,319,306,310,220,40,86.46965,484,1
210,2,319,220,490,400,40,248.27606,565,1
211,2,475,392,490,490,40,99.14131,587,1
212,2,491,493,310,400,40,203.49448,546,1
213,2,316,405,490,400,40,174.07182,651,1
214,2,477,398,400,220,40,193.94072,618,1
215,2,403,215,220,220,40,183.0683,1299,1
216,2,210,222,400,490,40,328.51788,834,1
217,2,396,492,220,490,40,176.01137,1066,1
218,2,226,502,220,220,40,282.0638,834,1
219,2,223,220,490,220,40,267.0,681,1
220,2,492,217,400,490,40,288.08505,699,1
221,2,395,492,400,490,40,5.3851647,1268,1
222,2,393,495,400,220,40,275.08908,749,1
223,2,403,222,310,400,40,200.83078,1016,1
224,2,307,397,310,400,40,4.2426405,416,1
225,2,307,397,310,490,40,93.04838,517,1
226,2,306,499,400,400,40,136.5174,567,1
227,2,411,399,220,400,40,191.00262,568,1
228,2,207,402,310,310,40,138.10503,532,1
229,2,318,300,310,490,40,190.16835,583,1
230,2,303,488,310,490,40,7.28011,386,1
231,2,303,488,220,220,40,280.55838,629,1
232,2,223,227,400,310,40,195.49425,582,1
233,2,403,311,400,490,40,179.02513,517,1
234,2,397,489,310,400,40,124.45883,583,1
235,2,313,407,400,220,40,206.24742,598,1
236,2,403,227,310,400,40,196.41283,601,1
237,2,299,403,490,490,40,209.88092,654,1
238,2,493,486,310,220,40,322.86993,698,1
239,2,298,204,490,490,40,344.4706,832,1
240,2,482,491,490,310,40,181.17671,650,1
241,2,483,300,220,490,40,324.45184,682,1
242,2,224,487,310,220,40,280.50845,603,1
243,2,314,222,310,310,40,88.09086,614,1
244,2,311,310,400,400,40,126.57409,618,1
245,2,412,398,220,490,40,212.90373,569,1
246,2,220,489,220,310,40,179.0,580,1
247,2,220,311,220,490,40,179.0,835,1
248,2,215,484,400,310,40,253.97047,651,1
249,2,394,320,490,400,40,124.964,498,1
250,2,492,413,310,310,40,209.12436,652,1
251,2,314,311,310,220,40,91.08787,481,1
